                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.018,                 1.8528,                 1.2314,                0.85306,                0.43007,                0.60773,                0.38087,                 1.1532,                 2.3973,                 1.2381,                0.00044,                0.00044,                0.00044
                      2,                 1.0717,                 1.3499,                 1.2552,                0.81363,                0.53904,                0.63066,                0.39052,                 1.2277,                 2.2078,                 1.3531,             0.00089109,             0.00089109,             0.00089109
                      3,                 1.1185,                 1.2816,                 1.2502,                0.58953,                0.55556,                0.54264,                0.28481,                 1.5414,                 2.1853,                 1.5854,              0.0013331,              0.0013331,              0.0013331
                      4,                 1.1652,                 1.3362,                 1.3098,                0.69132,                0.59259,                 0.6159,                0.29438,                 1.6349,                 2.0457,                  1.835,              0.0017659,              0.0017659,              0.0017659
                      5,                 1.1536,                 1.2493,                 1.2921,                0.51611,                0.44444,                0.42369,                0.20913,                 1.6987,                 2.0702,                  1.791,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.2071,                 1.2379,                 1.3154,                0.63001,                0.58025,                0.58022,                0.29108,                 1.6532,                  1.779,                 1.7891,               0.001901,               0.001901,               0.001901
                      7,                 1.1445,                 1.2124,                 1.2805,                 0.7622,                0.65432,                0.68539,                0.41352,                 1.5224,                 1.9454,                  1.684,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.1187,                 1.1487,                 1.2743,                0.74785,                0.62963,                0.67434,                0.36719,                 1.5913,                 1.6607,                  1.717,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.145,                 1.1826,                 1.2985,                0.77511,                0.69136,                0.76509,                0.44003,                 1.4116,                  1.848,                 1.5288,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1225,                 1.1239,                 1.2829,                0.70647,                0.68346,                 0.7107,                0.40195,                 1.4595,                  1.566,                 1.4653,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.0946,                 1.0643,                 1.2524,                 0.6248,                0.71605,                 0.6913,                0.42153,                 1.2598,                 1.5247,                 1.3708,               0.001802,               0.001802,               0.001802
                     12,                 1.1108,                 1.0816,                 1.2827,                0.81029,                 0.7284,                 0.8162,                0.47511,                 1.4297,                 1.4454,                 1.4631,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0952,                 1.0867,                 1.2635,                0.74645,                0.75309,                0.77933,                0.43148,                 1.3217,                 1.4334,                 1.4048,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0652,                 1.0354,                 1.2569,                0.83136,                0.74074,                 0.8272,                0.54413,                 1.2204,                 1.1414,                  1.371,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0679,                 1.0364,                 1.2662,                0.74551,                0.67901,                0.73185,                0.43486,                 1.3578,                 1.3225,                 1.4894,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0832,                 1.0233,                 1.2657,                0.68516,                0.80247,                0.79058,                0.48157,                 1.4141,                 1.2229,                 1.4614,               0.001703,               0.001703,               0.001703
                     17,                 1.0757,                 1.0174,                 1.2494,                0.76913,                0.69924,                0.78785,                0.48583,                 1.3194,                 1.2255,                 1.4308,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0032,                 0.9416,                 1.2039,                0.85005,                0.83984,                0.90094,                0.59957,                 1.1318,                0.94543,                 1.3448,              0.0016634,              0.0016634,              0.0016634
                     19,                0.99379,                0.94211,                 1.1967,                0.73373,                0.85185,                0.85063,                0.58155,                 1.1214,                 0.9783,                 1.2452,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0145,                 0.9256,                 1.2099,                0.83535,                0.75163,                0.85528,                0.58502,                 1.1297,                0.96424,                  1.227,              0.0016238,              0.0016238,              0.0016238
                     21,                0.99686,                0.89727,                 1.1947,                0.76861,                0.74074,                0.85319,                0.57716,                 1.1016,                 1.0771,                 1.2314,               0.001604,               0.001604,               0.001604
                     22,                0.97651,                0.91136,                 1.1925,                 0.8584,                0.74848,                0.88201,                0.61127,                 1.0379,                0.96348,                 1.2222,              0.0015842,              0.0015842,              0.0015842
                     23,                0.95051,                0.87984,                 1.1753,                0.85368,                0.75309,                0.83308,                0.56472,                 1.1194,                 0.9755,                 1.3014,              0.0015644,              0.0015644,              0.0015644
                     24,                0.95208,                0.85257,                 1.1724,                0.83998,                0.77768,                 0.8799,                0.62061,                 1.0646,                0.85992,                 1.2179,              0.0015446,              0.0015446,              0.0015446
                     25,                0.94637,                0.84389,                 1.1668,                0.83332,                0.79012,                 0.8533,                 0.5481,                 1.1744,                  1.061,                 1.3193,              0.0015248,              0.0015248,              0.0015248
                     26,                0.93952,                0.85166,                 1.1568,                0.79497,                0.71806,                0.83674,                0.58454,                  1.057,                0.96167,                 1.1978,               0.001505,               0.001505,               0.001505
                     27,                0.91266,                0.82145,                 1.1514,                0.87597,                0.76543,                0.85037,                0.58106,                 1.1274,                0.95714,                 1.2634,              0.0014852,              0.0014852,              0.0014852
                     28,                 0.8982,                0.80997,                 1.1392,                0.83859,                0.79012,                0.88421,                0.59455,                  1.096,                0.94777,                 1.2516,              0.0014654,              0.0014654,              0.0014654
                     29,                0.87925,                0.79451,                  1.135,                0.85414,                0.77778,                0.89555,                0.59076,                  1.067,                0.84991,                 1.2255,              0.0014456,              0.0014456,              0.0014456
                     30,                0.87545,                0.79982,                 1.1235,                0.81073,                0.83951,                 0.8902,                0.63367,                 1.0076,                0.88951,                 1.1747,              0.0014258,              0.0014258,              0.0014258
                     31,                0.90653,                0.81239,                 1.1552,                0.78596,                 0.8642,                0.87273,                0.59508,                 1.0801,                0.92399,                  1.231,               0.001406,               0.001406,               0.001406
                     32,                 0.8957,                 0.8027,                 1.1404,                0.80644,                0.83951,                0.87881,                0.62143,                 1.0503,                0.89834,                 1.2432,              0.0013862,              0.0013862,              0.0013862
                     33,                0.88015,                0.79231,                 1.1206,                0.87639,                0.82716,                0.88655,                0.61131,                 0.9889,                 0.8262,                  1.215,              0.0013664,              0.0013664,              0.0013664
                     34,                0.87621,                0.79318,                 1.1244,                0.89586,                0.74344,                0.88002,                0.63083,                0.99734,                0.80745,                 1.2433,              0.0013466,              0.0013466,              0.0013466
                     35,                0.86794,                 0.7625,                 1.1197,                0.83656,                0.80247,                0.87685,                0.63618,                 1.0222,                0.78979,                  1.208,              0.0013268,              0.0013268,              0.0013268
                     36,                0.85744,                   0.75,                 1.1176,                0.84807,                0.82716,                0.90584,                0.65056,                 1.0022,                0.77854,                 1.1805,               0.001307,               0.001307,               0.001307
                     37,                0.82342,                0.74369,                 1.1143,                0.85817,                0.82171,                0.88078,                0.61848,                0.99503,                0.86863,                 1.1762,              0.0012872,              0.0012872,              0.0012872
                     38,                0.85931,                0.75843,                 1.1293,                 0.8045,                0.85185,                0.88192,                0.63117,                 1.0243,                0.84669,                 1.1547,              0.0012674,              0.0012674,              0.0012674
                     39,                 0.8337,                0.75437,                 1.1105,                0.87856,                0.80389,                 0.9026,                0.62144,                0.99798,                0.76649,                 1.1715,              0.0012476,              0.0012476,              0.0012476
                     40,                0.83114,                0.73991,                 1.1121,                0.82397,                0.87654,                0.90338,                0.64759,                0.96712,                0.84928,                 1.1816,              0.0012278,              0.0012278,              0.0012278
                     41,                0.81613,                0.70908,                 1.0934,                 0.8127,                0.80353,                0.88505,                0.62653,                 1.0507,                 0.8413,                 1.2186,               0.001208,               0.001208,               0.001208
                     42,                 0.8091,                0.72312,                 1.1057,                0.86561,                0.79522,                0.90414,                0.65927,                0.97928,                0.81615,                 1.1718,              0.0011882,              0.0011882,              0.0011882
                     43,                0.81657,                0.72095,                 1.1021,                0.87178,                0.81481,                0.90694,                0.66959,                0.97791,                0.75473,                 1.1869,              0.0011684,              0.0011684,              0.0011684
                     44,                0.80395,                 0.6957,                 1.0952,                0.87187,                0.82716,                0.91874,                0.67636,                0.97715,                0.73572,                 1.1749,              0.0011486,              0.0011486,              0.0011486
                     45,                0.79017,                0.68576,                 1.0763,                0.83767,                0.82716,                0.89952,                0.65765,                0.94779,                0.76734,                 1.1899,              0.0011288,              0.0011288,              0.0011288
                     46,                 0.7911,                0.69002,                 1.0969,                 0.8651,                0.83951,                0.90728,                0.64982,                 1.0143,                0.75875,                 1.2375,               0.001109,               0.001109,               0.001109
                     47,                0.77662,                0.67507,                 1.0696,                0.82416,                0.86802,                0.92644,                0.65232,                0.98359,                0.82747,                 1.1804,              0.0010892,              0.0010892,              0.0010892
                     48,                0.76155,                0.68404,                 1.0737,                0.88618,                0.87654,                0.93585,                0.67775,                0.96756,                0.71293,                 1.1496,              0.0010694,              0.0010694,              0.0010694
                     49,                0.75377,                0.67886,                 1.0709,                0.85925,                0.82906,                0.90158,                0.65352,                0.96323,                0.84968,                 1.1565,              0.0010496,              0.0010496,              0.0010496
                     50,                 0.7563,                0.64073,                 1.0772,                0.88358,                0.79012,                 0.8868,                0.64613,                 0.9613,                0.89345,                  1.159,              0.0010298,              0.0010298,              0.0010298
                     51,                0.75602,                0.64954,                 1.0719,                0.86112,                 0.9186,                0.93952,                0.67838,                0.96711,                0.75368,                 1.1604,                0.00101,                0.00101,                0.00101
                     52,                0.76812,                0.64588,                 1.0656,                0.96967,                0.78954,                0.92665,                0.69638,                0.89945,                0.76456,                 1.0828,              0.0009902,              0.0009902,              0.0009902
                     53,                0.74315,                0.62657,                 1.0677,                0.90891,                0.86234,                0.93677,                0.70092,                 0.8796,                 0.7793,                 1.1019,              0.0009704,              0.0009704,              0.0009704
                     54,                0.73995,                0.63443,                 1.0587,                0.84047,                0.91061,                0.93012,                0.68032,                0.90866,                0.77161,                 1.1337,              0.0009506,              0.0009506,              0.0009506
                     55,                0.72563,                0.61848,                  1.046,                0.89129,                 0.8642,                0.92974,                 0.6914,                 0.9271,                0.71526,                 1.1262,              0.0009308,              0.0009308,              0.0009308
                     56,                0.71923,                0.61899,                 1.0464,                0.84086,                0.88889,                0.94446,                0.70727,                0.90096,                0.67124,                 1.1042,               0.000911,               0.000911,               0.000911
                     57,                0.72775,                0.62661,                 1.0623,                0.85686,                0.88686,                0.92961,                 0.6881,                 0.8879,                0.70378,                 1.1323,              0.0008912,              0.0008912,              0.0008912
                     58,                0.74418,                  0.615,                 1.0553,                0.88211,                0.85185,                0.94541,                0.70458,                0.86681,                0.63362,                 1.0999,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.7204,                 0.6059,                 1.0451,                0.92961,                0.80247,                0.93077,                0.66878,                0.96501,                0.67666,                  1.142,              0.0008516,              0.0008516,              0.0008516
                     60,                0.69746,                0.58502,                 1.0277,                0.86266,                 0.8642,                0.92351,                0.66321,                0.96083,                0.73536,                   1.16,              0.0008318,              0.0008318,              0.0008318
                     61,                0.67984,                0.57859,                 1.0261,                0.89786,                0.85185,                0.93899,                0.69379,                0.92798,                0.72361,                 1.1347,               0.000812,               0.000812,               0.000812
                     62,                0.68954,                0.55082,                 1.0368,                0.90921,                0.85185,                0.94399,                0.68314,                0.93608,                0.64724,                 1.1927,              0.0007922,              0.0007922,              0.0007922
                     63,                0.69366,                0.57299,                 1.0379,                0.84294,                 0.8642,                0.91919,                0.67505,                0.89885,                0.70093,                 1.1696,              0.0007724,              0.0007724,              0.0007724
                     64,                0.65085,                0.56124,                 1.0157,                0.87658,                0.88889,                0.92762,                0.68002,                0.93297,                 0.6559,                 1.1439,              0.0007526,              0.0007526,              0.0007526
                     65,                0.70155,                0.57107,                 1.0369,                  0.853,                0.85969,                0.92845,                0.65419,                0.96143,                0.68889,                 1.1354,              0.0007328,              0.0007328,              0.0007328
                     66,                0.70159,                0.58928,                 1.0516,                0.87899,                0.89682,                0.94946,                 0.7002,                0.88837,                0.60803,                 1.1095,               0.000713,               0.000713,               0.000713
                     67,                0.67915,                0.55987,                 1.0326,                 0.8877,                0.88889,                0.94183,                0.67873,                0.92012,                0.61783,                 1.1254,              0.0006932,              0.0006932,              0.0006932
                     68,                0.67673,                0.56477,                 1.0303,                0.86564,                0.87495,                0.93108,                0.69443,                 0.8846,                 0.7079,                 1.0685,              0.0006734,              0.0006734,              0.0006734
                     69,                0.67344,                0.57098,                 1.0237,                0.87282,                0.82716,                0.92969,                0.70712,                0.89007,                0.72798,                 1.0807,              0.0006536,              0.0006536,              0.0006536
                     70,                   0.65,                0.53038,                 1.0142,                0.89246,                0.81968,                 0.9232,                0.69569,                0.91401,                0.69296,                 1.1153,              0.0006338,              0.0006338,              0.0006338
                     71,                0.64593,                0.53753,                 1.0012,                 0.9229,                0.82716,                0.92889,                0.68613,                0.90902,                0.66083,                 1.1204,               0.000614,               0.000614,               0.000614
                     72,                0.64722,                0.54829,                  1.018,                0.89562,                 0.8642,                0.92296,                0.69636,                0.88646,                0.65849,                   1.08,              0.0005942,              0.0005942,              0.0005942
                     73,                0.65462,                 0.5338,                 1.0091,                 0.8746,                0.88889,                0.93343,                0.70495,                0.83665,                0.65993,                 1.0748,              0.0005744,              0.0005744,              0.0005744
                     74,                0.64585,                0.54323,                 1.0172,                 0.9208,                0.85185,                0.91259,                0.71368,                 0.8265,                0.70541,                   1.08,              0.0005546,              0.0005546,              0.0005546
                     75,                0.62101,                 0.5284,                  1.001,                0.86447,                0.88889,                0.93578,                0.70491,                0.84757,                0.66524,                  1.105,              0.0005348,              0.0005348,              0.0005348
                     76,                0.63911,                0.52364,                 1.0132,                0.89746,                0.86442,                0.94486,                0.71021,                0.83155,                0.62316,                 1.0938,               0.000515,               0.000515,               0.000515
                     77,                0.64215,                 0.5367,                 1.0152,                0.93343,                0.86556,                 0.9506,                0.70461,                0.85946,                0.60857,                 1.1164,              0.0004952,              0.0004952,              0.0004952
                     78,                0.62526,                0.52189,                 1.0184,                0.92165,                0.83951,                0.92713,                0.70585,                0.84463,                0.66138,                 1.0979,              0.0004754,              0.0004754,              0.0004754
                     79,                0.61414,                 0.5081,                0.99749,                0.89796,                0.83951,                0.91907,                0.70945,                0.84868,                0.67531,                 1.0847,              0.0004556,              0.0004556,              0.0004556
                     80,                0.60539,                0.50152,                 1.0003,                0.92043,                 0.8642,                0.91846,                0.68083,                0.88275,                0.67231,                 1.1088,              0.0004358,              0.0004358,              0.0004358
                     81,                0.59761,                0.49371,                0.98902,                0.92043,                0.85686,                0.91757,                0.68577,                0.87954,                0.68658,                 1.1021,               0.000416,               0.000416,               0.000416
                     82,                0.58031,                 0.4913,                0.98143,                0.94511,                0.85038,                0.93294,                0.70514,                0.86517,                0.64391,                 1.0849,              0.0003962,              0.0003962,              0.0003962
                     83,                0.58766,                0.48142,                0.98515,                0.88961,                0.87654,                0.93466,                 0.7072,                0.81476,                0.62064,                 1.0744,              0.0003764,              0.0003764,              0.0003764
                     84,                0.58995,                0.48449,                 0.9807,                0.89895,                0.87862,                0.93739,                0.71088,                0.81192,                0.59567,                 1.0767,              0.0003566,              0.0003566,              0.0003566
                     85,                0.59332,                0.49194,                0.98535,                0.89919,                  0.881,                0.92716,                0.69245,                0.84744,                0.60974,                 1.1027,              0.0003368,              0.0003368,              0.0003368
