                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5039,                 3.3173,                 1.4921,                0.74969,                0.13054,                0.24851,                0.15141,                 1.4075,                 3.1941,                 1.4625,             0.00023416,             0.00023416,             0.00023416
                      2,                  1.399,                  2.108,                 1.4028,                0.47803,                0.46532,                 0.3876,                0.21209,                 1.4944,                 2.0873,                 1.4382,             0.00046749,             0.00046749,             0.00046749
                      3,                 1.3637,                 1.8805,                 1.3735,                0.49439,                0.32875,                0.33958,                0.19762,                 1.4678,                 1.8274,                 1.4348,              0.0006961,              0.0006961,              0.0006961
                      4,                 1.3501,                 1.7637,                 1.3439,                0.51999,                0.39827,                0.36789,                0.22623,                 1.3964,                 1.5684,                 1.3933,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.3006,                 1.6418,                 1.3179,                0.55877,                0.41266,                0.39016,                0.25076,                  1.378,                 1.5075,                 1.3428,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.2864,                 1.5607,                 1.3222,                0.67084,                0.44992,                0.39559,                0.24098,                 1.3998,                 1.5803,                 1.3901,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.2462,                 1.5179,                  1.282,                0.64699,                0.38945,                0.40818,                0.25119,                 1.3417,                 1.4174,                 1.3631,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.2545,                   1.43,                 1.2744,                 0.6094,                0.40104,                0.42059,                0.26339,                 1.3687,                 1.3401,                 1.3161,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.2345,                 1.3888,                 1.2618,                0.56452,                0.45572,                0.40884,                0.25761,                 1.3925,                 1.3575,                 1.3622,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.2303,                  1.365,                 1.2664,                0.60403,                0.42562,                0.43421,                0.26937,                 1.3344,                 1.3279,                 1.3102,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.2124,                 1.3224,                 1.2438,                0.71504,                 0.3688,                0.44115,                 0.2773,                 1.3519,                 1.2764,                 1.3408,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.1866,                 1.2673,                 1.2272,                 0.7024,                0.39748,                 0.4532,                0.28185,                 1.3395,                 1.2936,                 1.3401,             0.00063625,             0.00063625,             0.00063625
                     13,                    1.2,                 1.2429,                 1.2198,                0.64695,                0.45558,                0.43897,                0.28024,                 1.3124,                 1.2515,                 1.3196,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.1629,                 1.2104,                 1.2117,                0.62858,                0.44779,                0.46515,                0.29412,                 1.3078,                 1.2528,                 1.2963,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.1733,                 1.1839,                 1.2166,                0.57335,                0.44589,                0.44964,                0.28654,                 1.3307,                 1.2232,                 1.3265,             0.00061504,             0.00061504,             0.00061504
                     16,                  1.159,                 1.1755,                  1.218,                0.64453,                0.45072,                0.45217,                0.28561,                 1.3082,                 1.2091,                 1.3279,             0.00060797,             0.00060797,             0.00060797
                     17,                 1.1463,                 1.1332,                 1.2039,                0.65319,                 0.4195,                0.47346,                0.29623,                 1.2642,                  1.142,                 1.2753,              0.0006009,              0.0006009,              0.0006009
                     18,                 1.1564,                 1.1167,                  1.196,                0.89109,                0.38656,                0.45822,                0.28184,                 1.2886,                 1.1593,                 1.3005,             0.00059383,             0.00059383,             0.00059383
                     19,                 1.1375,                 1.1017,                 1.1933,                0.76136,                0.45145,                0.48578,                0.30131,                 1.2834,                 1.1723,                 1.2985,             0.00058677,             0.00058677,             0.00058677
                     20,                 1.1109,                 1.0561,                 1.1723,                0.56626,                 0.4645,                0.45345,                0.29379,                 1.2834,                 1.1353,                 1.2732,              0.0005797,              0.0005797,              0.0005797
                     21,                 1.1154,                 1.0561,                 1.1838,                0.67503,                0.40123,                0.44637,                0.29196,                 1.2646,                 1.2534,                 1.2941,             0.00057263,             0.00057263,             0.00057263
                     22,                 1.1041,                 1.0169,                 1.1691,                0.61867,                0.47946,                0.47776,                0.30461,                 1.2961,                 1.1219,                 1.2987,             0.00056556,             0.00056556,             0.00056556
                     23,                 1.1096,                 1.0158,                 1.1802,                0.75892,                0.42961,                0.49306,                0.32312,                 1.2572,                 1.0395,                 1.2755,             0.00055849,             0.00055849,             0.00055849
                     24,                 1.0925,                0.98519,                 1.1613,                0.81415,                0.40322,                0.46121,                0.30129,                   1.28,                 1.1405,                  1.299,             0.00055142,             0.00055142,             0.00055142
                     25,                 1.0859,                0.98611,                 1.1618,                 0.6442,                0.46705,                0.46824,                0.29151,                 1.3353,                 1.0847,                 1.3347,             0.00054435,             0.00054435,             0.00054435
                     26,                 1.0659,                0.96577,                 1.1494,                0.64086,                0.49887,                0.46856,                0.30466,                 1.2966,                 1.1432,                 1.3258,             0.00053728,             0.00053728,             0.00053728
                     27,                 1.0697,                0.95603,                 1.1532,                0.71454,                0.40426,                0.44674,                0.29405,                  1.258,                 1.1021,                 1.2863,             0.00053022,             0.00053022,             0.00053022
                     28,                 1.0673,                0.94026,                 1.1482,                0.71048,                0.37411,                0.45989,                0.29381,                 1.2787,                 1.1124,                 1.2918,             0.00052315,             0.00052315,             0.00052315
                     29,                 1.0672,                0.93256,                 1.1438,                0.59019,                0.46639,                0.47714,                0.30705,                 1.2712,                 1.1013,                 1.3101,             0.00051608,             0.00051608,             0.00051608
                     30,                 1.0615,                0.91223,                 1.1346,                 0.7049,                0.48553,                0.47106,                0.30412,                 1.2497,                 1.0969,                  1.283,             0.00050901,             0.00050901,             0.00050901
                     31,                 1.0388,                0.88392,                 1.1281,                0.76139,                0.45309,                0.48546,                0.30707,                 1.2656,                 1.0748,                  1.286,             0.00050194,             0.00050194,             0.00050194
                     32,                 1.0391,                0.90402,                 1.1288,                0.64674,                0.48712,                0.47337,                0.29904,                 1.2929,                 1.0504,                 1.3179,             0.00049487,             0.00049487,             0.00049487
                     33,                 1.0308,                0.88338,                 1.1228,                0.83141,                0.41149,                0.49748,                0.31817,                 1.2517,                 1.0857,                 1.2714,              0.0004878,              0.0004878,              0.0004878
                     34,                  1.029,                0.87431,                 1.1251,                0.70926,                0.49666,                0.51866,                 0.3319,                 1.3006,                 1.0806,                 1.3069,             0.00048074,             0.00048074,             0.00048074
                     35,                  1.008,                0.83767,                 1.1047,                0.65591,                0.55446,                0.52066,                0.31561,                 1.2867,                 1.0777,                 1.2927,             0.00047367,             0.00047367,             0.00047367
                     36,                 1.0064,                0.84699,                 1.1085,                0.76234,                0.41251,                0.47941,                 0.3019,                 1.2729,                 1.1115,                 1.3031,              0.0004666,              0.0004666,              0.0004666
                     37,                 1.0072,                0.84054,                 1.1183,                0.65425,                0.46225,                 0.5102,                0.31631,                 1.2668,                 1.0427,                 1.2822,             0.00045953,             0.00045953,             0.00045953
                     38,                0.98571,                0.80308,                 1.1049,                 0.7756,                0.42672,                0.48947,                0.30815,                 1.2782,                 1.0821,                 1.2921,             0.00045246,             0.00045246,             0.00045246
                     39,                 0.9855,                0.78774,                 1.0959,                0.64965,                0.50449,                0.49288,                0.31613,                 1.2382,                 1.0354,                 1.2729,             0.00044539,             0.00044539,             0.00044539
                     40,                0.99509,                0.80245,                 1.1054,                0.75772,                0.43452,                 0.4826,                0.30765,                 1.2752,                 1.1134,                 1.2918,             0.00043832,             0.00043832,             0.00043832
                     41,                0.97301,                0.76671,                 1.0852,                0.76022,                0.50057,                0.50653,                0.32262,                 1.3222,                 1.0675,                 1.3233,             0.00043126,             0.00043126,             0.00043126
                     42,                0.96366,                0.75707,                 1.0776,                0.62072,                0.47784,                0.48763,                0.31769,                 1.2591,                 1.0775,                 1.2614,             0.00042419,             0.00042419,             0.00042419
                     43,                0.96983,                0.76181,                 1.0811,                0.74776,                  0.447,                0.51279,                0.32472,                 1.2262,                 0.9831,                 1.2734,             0.00041712,             0.00041712,             0.00041712
                     44,                0.96661,                0.75246,                 1.0854,                0.71653,                0.48311,                0.51494,                0.32514,                 1.2816,                 1.0141,                 1.3056,             0.00041005,             0.00041005,             0.00041005
                     45,                  0.967,                0.76425,                 1.0882,                0.68169,                0.51507,                0.49232,                0.30787,                 1.3142,                 1.0321,                 1.3072,             0.00040298,             0.00040298,             0.00040298
                     46,                0.93515,                0.73649,                 1.0793,                0.69431,                0.42553,                0.47019,                 0.2991,                 1.2573,                 1.0402,                 1.2883,             0.00039591,             0.00039591,             0.00039591
                     47,                0.94421,                0.73303,                 1.0761,                 0.6924,                0.41731,                0.49502,                0.32827,                 1.2586,                 1.0505,                 1.2878,             0.00038884,             0.00038884,             0.00038884
                     48,                  0.942,                0.72592,                 1.0663,                0.67096,                0.43641,                 0.4821,                 0.3068,                 1.2234,                 1.0174,                 1.2968,             0.00038178,             0.00038178,             0.00038178
                     49,                0.92172,                0.71321,                 1.0591,                0.65384,                0.50843,                0.47693,                 0.3034,                 1.2648,                0.97814,                 1.2758,             0.00037471,             0.00037471,             0.00037471
                     50,                0.90458,                 0.6935,                 1.0472,                0.72227,                0.44465,                0.47079,                0.31063,                 1.2492,                 1.0741,                 1.2781,             0.00036764,             0.00036764,             0.00036764
                     51,                0.90511,                0.69667,                   1.06,                0.76465,                0.46723,                0.48916,                0.31607,                  1.277,                 1.0748,                 1.2808,             0.00036057,             0.00036057,             0.00036057
                     52,                0.90582,                0.68909,                 1.0582,                0.75997,                0.48147,                0.51871,                 0.3279,                  1.294,                 1.0082,                 1.2917,              0.0003535,              0.0003535,              0.0003535
                     53,                0.90615,                0.69934,                 1.0628,                0.71474,                 0.4701,                0.50024,                0.32823,                  1.252,                  1.054,                 1.2867,             0.00034643,             0.00034643,             0.00034643
